movie_id,language_id
862,1
8844,1
8844,2
15602,1
31357,1
11862,1
949,1
949,3
11860,2
11860,1
45325,1
45325,4
9091,1
710,1
710,5
710,3
9087,1
12110,1
12110,4
21032,1
10858,1
1408,1
1408,6
524,1
4584,1
5,1
9273,1
11517,1
8012,1
1710,1
1710,4
9691,1
9691,3
9691,7
12665,1
451,1
16420,1
9263,1
17015,1
902,8
902,2
37557,9
9909,1
63,1
63,2
78802,1
9598,1
47018,1
687,1
139405,5
139405,1
33689,1
9603,3
9603,1
34615,1
31174,1
11443,1
35196,1
35196,3
9312,1
577,1
11861,1
807,1
10530,1
8391,1
629,3
629,1
629,2
629,10
11448,1
49133,11
49133,12
26441,1
26441,4
97406,1
124057,1
9089,1
9089,3
11010,12
11010,3
99040,1
99040,2
11359,1
17182,1
17182,2
17182,13
17182,3
2054,1
10607,1
10607,3
19760,1
9536,1
9536,5
11525,1
11525,10
40628,1
4482,2
4482,3
10634,1
755,1
755,3
11859,1
11859,3
28387,1
48750,2
20927,1
36929,1
9102,1
124626,4
124626,1
27526,1
9623,1
46785,14
400,1
880,7
146599,1
8447,1
10534,15
10534,1
10534,2
10534,4
17414,1
17414,2
17414,5
13997,1
2086,1
61548,1
9095,1
12158,1
9283,1
9208,1
40154,1
406,2
45549,1
63076,1
11062,1
13685,3
13685,1
47475,1
2045,1
9614,1
688,1
11907,4
10874,1
89333,1
197,1
197,2
197,6
197,16
103,1
103,3
33542,8
33542,1
43566,1
43566,2
43566,4
71754,1
43612,2
51352,1
16934,1
10324,1
78406,1
55731,1
32119,1
11066,2
11066,1
11104,8
11104,1
11104,17
11104,9
37975,12
2074,1
27793,1
44284,18
44284,2
110972,1
32622,1
73067,1
11863,1
55475,3
124636,1
9101,1
123360,1
5757,1
39428,1
9302,2
11000,1
11000,2
249882,1
249882,19
249882,20
16388,1
9737,1
30765,4
10474,1
22279,1
30157,1
568,1
11780,1
34996,1
414,1
649,2
649,21
649,3
1873,1
5894,1
1775,1
8839,1
20649,1
10329,1
10329,2
8963,1
26564,1
8068,1
8512,1
1572,1
1572,4
1572,22
13552,1
259209,1
6520,1
6520,2
9073,1
9073,23
9073,24
10428,1
10428,12
10428,17
10428,5
17447,1
17447,2
9886,1
9886,17
9482,1
19326,1
9344,1
9071,1
8973,1
15730,1
47608,1
2293,1
9070,1
68274,1
48787,5
48787,1
34574,4
34574,1
1642,1
1642,3
11472,1
11472,5
36196,1
11980,1
58372,1
32646,1
10533,1
10802,1
10149,1
18402,1
9348,1
139408,10
139408,1
281,1
5967,2
79593,1
47939,1
36834,1
9090,1
9090,3
3512,1
52856,1
77350,1
9560,1
9804,1
9804,4
9804,3
31611,1
65796,8
65796,1
49805,1
26258,1
26258,4
50797,5
19155,11
19155,1
19155,25
76,1
76,4
76,2
11017,2
11017,3
11017,1
37141,1
9382,1
6715,1
18256,1
18256,12
18256,26
22625,1
2292,1
1909,1
8984,1
61813,1
4954,1
62488,1
10531,1
11929,1
8467,1
10451,9
20156,1
20156,27
18395,1
522,1
397,2
397,1
10525,1
27985,1
15789,1
27303,1
21183,1
10954,2
47867,1
43475,1
72031,1
14275,1
1024,1
17207,1
17207,5
13701,1
14819,1
32631,1
32631,2
32631,4
11777,1
11777,4
628,1
628,2
87729,1
18713,1
6280,1
9061,1
37108,1
6071,1
11,1
9587,1
9587,4
9587,2
19101,1
19101,2
49980,1
17961,2
18183,1
18183,3
4476,28
4476,1
11008,1
47504,1
32325,1
32325,3
43742,1
28313,1
11318,1
3036,1
40490,1
24070,1
8986,1
10510,1
17402,1
38722,1
38722,3
8438,1
11593,29
11593,1
11593,10
1945,1
39310,1
109560,1
109560,8
56428,1
63105,1
131957,1
241,1
241,30
241,17
9058,1
527,1
527,31
18220,1
6950,1
6950,13
6950,2
101,1
63020,1
2307,1
680,1
680,3
680,2
41478,1
25296,1
25296,9
40156,1
11450,1
30304,32
30304,1
30304,17
10452,2
10452,12
12106,1
161495,1
3586,2
3586,12
3586,5
3586,3
3586,1
110,2
108,2
108,33
109,2
109,10
109,33
159185,9
36357,1
92769,1
28033,1
22586,1
14334,1
14334,34
2636,1
2164,1
2164,35
2164,26
11395,1
278,1
9905,1
87078,1
12527,3
20306,1
36614,1
27993,1
27993,4
31439,9
9067,1
9059,1
193,1
25066,1
46797,1
12122,1
