vote_id,movie_id,vote_average,vote_count
1,862,7.7,5415
2,8844,6.9,2413
3,15602,6.5,92
4,31357,6.1,34
5,11862,5.7,173
6,949,7.7,1886
7,11860,6.2,141
8,45325,5.4,45
9,9091,5.5,174
10,710,6.6,1194
11,9087,6.5,199
12,12110,5.7,210
13,21032,7.1,423
14,10858,7.1,72
15,1408,5.7,137
16,524,7.8,1343
17,4584,7.2,364
18,5,6.5,539
19,9273,6.1,1128
20,11517,5.4,224
21,8012,6.4,305
22,1710,6.5,199
23,9691,6.0,394
24,12665,6.3,143
25,451,7.1,365
26,16420,7.0,33
27,9263,6.6,91
28,17015,7.4,36
29,902,7.6,308
30,37557,6.5,17
31,9909,6.4,249
32,63,7.4,2470
33,78802,6.8,4
34,9598,6.0,756
35,47018,6.4,16
36,687,7.3,350
37,139405,3.5,2
38,33689,6.1,149
39,9603,6.9,828
40,34615,6.7,13
41,31174,6.9,50
42,11443,6.6,80
43,35196,6.3,30
44,9312,5.4,452
45,577,6.7,177
46,11861,6.5,38
47,807,8.1,5915
48,10530,6.7,1509
49,8391,5.9,10
50,629,8.1,3334
51,117164,6.3,3
52,11448,6.7,145
53,49133,7.7,11
54,26441,5.2,41
55,97406,6.1,15
56,124057,3.0,1
57,9089,6.3,39
58,11010,7.6,181
59,99040,6.5,2
60,11359,5.9,136
61,17182,5.8,65
62,2054,6.9,115
63,10607,6.2,192
64,19760,4.5,14
65,9536,4.4,110
66,11525,2.8,32
67,40628,5.4,11
68,4482,6.0,43
69,10634,7.0,513
70,755,6.9,1644
71,11859,4.1,54
72,28387,7.0,36
73,48750,6.6,8
74,20927,5.1,27
75,36929,3.9,16
76,9102,6.1,154
77,124626,7.3,3
78,27526,6.1,74
79,9623,5.5,91
80,46785,7.5,20
81,400,6.7,87
82,880,7.2,26
83,146599,4.5,2
84,188588,0.0,0
85,8447,6.3,17
86,10534,6.3,86
87,17414,5.1,59
88,13997,6.0,124
89,2086,6.1,190
90,61548,6.7,3
91,9095,5.7,77
92,12158,4.5,113
93,9283,6.6,103
94,9208,5.7,459
95,40154,7.5,6
96,406,7.9,695
97,45549,5.6,13
98,63076,6.8,4
99,11062,6.0,67
100,13685,6.8,285
101,47475,3.3,16
102,2045,5.3,22
103,9614,6.5,767
104,688,7.3,397
105,11907,5.1,5
106,10874,6.5,93
107,89333,7.0,2
108,96357,0.0,0
109,197,7.7,3404
110,103,8.1,2632
111,33542,6.5,245
112,43566,5.8,37
113,71754,7.5,2
114,43612,7.0,23
115,51352,7.3,4
116,16934,6.9,19
117,10324,5.4,11
118,78406,5.1,7
119,55731,5.2,21
120,32119,7.0,7
121,11066,5.4,139
122,11104,7.9,249
123,37975,6.8,29
124,2074,6.3,66
125,27793,4.4,105
126,44284,4.3,3
127,290157,0.0,0
128,110972,7.0,2
129,32622,5.6,9
130,73067,5.4,4
131,11863,5.1,45
132,55475,5.5,1
